sample_id	raw total sequences	filtered sequences	sequences	is sorted	1st fragments	last fragments	reads mapped	reads mapped and paired	reads unmapped	reads properly paired	reads paired	reads duplicated	reads MQ0	reads QC failed	non-primary alignments	total length	total first fragment length	total last fragment length	bases mapped	bases mapped (cigar)	bases trimmed	bases duplicated	mismatches	error rate	average length	average first fragment length	average last fragment length	maximum length	maximum first fragment length	maximum last fragment length	average quality	insert size average	insert size standard deviation	inward oriented pairs	outward oriented pairs	pairs with other orientation	pairs on different chromosomes	percentage of properly paired reads (%)	avg_depth	stdev_depth	num_ht_sites
NG-28050_2_22_lib499447_7584_3	8430370	0	8430370	1	4211833	4218537	7900134	7813528	530236	7769502	8306673	0	121464	0	462	1272985870	635986783	636999087	1192920234	1191391219	0	0	22891169	1.921381e-02	151	151	151	151	151	151	35.8	319.3	108.5	3861187	37315	8262	0	92.2	410.33116919581937	156.175323770745	796
NG-28050_2_23_lib499448_7584_3	8080758	0	8080758	1	4036089	4044669	7626960	7610074	453798	7589010	8059771	0	198672	0	323	1220194458	609449439	610745019	1151670960	1150801946	0	0	3291700	2.860353e-03	151	151	151	151	151	151	35.8	291.8	94.3	3745404	56506	3127	0	93.9	396.46398993460735	66.35297522037884	255
NG-28050_2_25_lib499449_7584_3	9774591	0	9774591	1	4886045	4888546	8477602	8295204	1296989	8131506	9523772	0	170647	0	587	1475963241	737792795	738170446	1280117902	1277732615	0	0	24839341	1.944017e-02	151	151	151	151	151	151	35.9	272.7	87.6	4002705	77239	67658	0	83.2	440.06765855250035	203.169752388843	1124
NG-28050_2_26_lib504954_7614_4	13796479	0	13796479	1	6891925	6904554	12530371	12439930	1266108	12359230	13620469	0	203775	0	754	2083268329	1040680675	1042587654	1892086021	1889688281	0	0	41104040	2.175176e-02	151	151	151	151	151	151	35.3	345.5	111.8	6167389	39433	13143	0	89.6	650.8325956661897	215.29049932880454	897
NG-28050_2_29_lib499451_7584_3	7481081	0	7481081	1	3736745	3744336	7088793	7032436	392288	6993056	7403122	0	118947	0	410	1129643231	564248495	565394736	1070407743	1068863602	0	0	15327214	1.433973e-02	151	151	151	151	151	151	35.9	266.6	81.3	3441522	71656	3040	0	93.5	368.1541080658536	125.91196486443728	679
NG-28050_2_2_lib499430_7584_3	6492003	0	6492003	1	3243296	3248707	5899569	5809302	592434	5782866	6368293	0	115895	0	293	980292453	489737696	490554757	890834919	889790600	0	0	16952014	1.905169e-02	151	151	151	151	151	151	35.8	316.8	94.1	2879941	20738	3972	0	89.1	306.45821032660507	83.73235064496276	771
NG-28050_2_30_lib499452_7584_3	6274470	0	6274470	1	3138018	3136452	5411564	5185736	862906	5085356	6012782	0	62983	0	359	947444970	473840718	473604252	817146164	815599243	0	0	15177554	1.860908e-02	151	151	151	151	151	151	35.8	266.6	81.4	2501475	47615	43778	0	81.0	280.9124091036405	105.22870631043824	608
NG-28050_2_31_lib499453_7584_3	6986436	0	6986436	1	3488368	3498068	6434101	6331668	552335	6290884	6856883	0	88444	0	343	1054951836	526743568	528208268	971549251	970553586	0	0	18755637	1.932468e-02	151	151	151	151	151	151	35.6	389.3	120.1	3145885	11402	8547	0	90.0	334.2752321265726	99.85216718334446	546
NG-28050_2_3_lib502120_7584_1	8067604	0	8067604	1	4031288	4036316	7514259	7408734	553345	7356842	7923863	0	134248	0	345	1218208204	608724488	609483716	1134653109	1133371829	0	0	23013019	2.030492e-02	151	151	151	151	151	151	35.5	376.1	112.3	3677455	16627	10285	0	91.2	390.3506502231261	110.7807147555966	706
NG-28050_2_41_lib499454_7584_2	7504066	0	7504066	1	3745934	3758132	6619279	6515212	884787	6474880	7339941	0	100713	0	353	1133113966	565636034	567477932	999511129	998366301	0	0	20499030	2.053257e-02	151	151	151	151	151	151	35.6	356.8	107.8	3234905	15451	7250	0	86.3	343.84625160932245	120.48402966675486	855
NG-28050_2_42_lib499455_7584_1	2665167	0	2665167	1	1334996	1330171	2430805	2369162	234362	2359342	2596826	0	56660	0	81	402440217	201584396	200855821	367051555	366612918	0	0	7531250	2.054278e-02	151	151	151	151	151	151	35.5	357.6	96.9	1177037	5592	1952	0	88.5	126.26884306896633	63.35192349690179	769
NG-28050_2_43_lib499456_7584_2	7820676	0	7820676	1	3904727	3915949	6984460	6870556	836216	6819540	7664206	0	90326	0	351	1180922076	589613777	591308299	1054653460	1053450492	0	0	21973229	2.085834e-02	151	151	151	151	151	151	35.4	417.4	132.6	3413044	13739	8495	0	87.2	362.8082976098482	144.64717778454823	751
NG-28050_2_44_lib499457_7584_2	10304780	0	10304780	1	5140215	5164565	10078551	10057862	226229	10029822	10278548	0	256143	0	470	1556021780	776172465	779849315	1521861201	1521313022	0	0	6114523	4.019240e-03	151	151	151	151	151	151	35.6	358.8	107.1	4999386	22296	7249	0	97.3	524.1078780921644	94.06496593094315	243
NG-28050_2_45_lib499458_7584_2	5840402	0	5840402	1	2918369	2922033	5226593	5004020	613809	4774224	5584368	0	82573	0	353	881900702	440673719	441226983	789215543	788158575	0	0	16689414	2.117520e-02	151	151	151	151	151	151	35.4	398.4	136.6	2388474	11327	102209	0	81.7	271.4525912632695	111.19092252654428	1108
NG-28050_2_46_lib499459_7584_2	8635292	0	8635292	1	4310206	4325086	7932530	7824196	702762	7774400	8485688	0	121710	0	382	1303929092	650841106	653087986	1197812030	1196438756	0	0	24633258	2.058882e-02	151	151	151	151	151	151	35.5	363.2	111.2	3884478	18998	8622	0	90.0	412.06829211825595	131.46498627178508	848
NG-28050_2_47_lib499460_7584_2	7381325	0	7381325	1	3687582	3693743	6641253	6357170	740072	5977096	7045005	0	72168	0	447	1114580075	556824882	557755193	1002829203	1001430603	0	0	19799990	1.977170e-02	151	151	151	151	151	151	35.6	374.9	169.0	2986540	18050	173995	0	81.0	344.9101542434608	133.97642731932916	569
NG-28050_2_48_lib499461_7584_2	7933537	0	7933537	1	3959405	3974132	7636971	7617936	296566	7600636	7913911	0	179934	0	304	1197964087	597870155	600093932	1153182621	1152758128	0	0	4605320	3.995045e-03	151	151	151	151	151	151	35.5	347.6	105.6	3787511	17789	3668	0	95.8	397.1383522949447	70.9267211164786	101
NG-28050_2_49_1_lib499462_7584_2	8315091	0	8315091	1	4150337	4164754	7891452	7817478	423639	7775584	8214880	0	125227	0	424	1255578741	626700887	628877854	1191609252	1190495624	0	0	18846264	1.583060e-02	151	151	151	151	151	151	35.4	327.9	96.3	3877035	25590	6114	0	93.5	410.04775342544093	119.72672013053217	594
NG-28050_2_49_2_lib499463_7584_2	8433610	0	8433610	1	4209293	4224317	8017750	7939466	415860	7888022	8327775	0	124686	0	386	1273475110	635603243	637871867	1210680250	1209631007	0	0	18857715	1.558964e-02	151	151	151	151	151	151	35.6	346.9	101.2	3938506	20942	10285	0	93.5	416.63772716984215	123.13125301529185	589
NG-28050_2_4_lib499432_7584_3	1853420	0	1853420	1	925280	928140	1649228	1601918	204192	1594286	1801904	0	23944	0	106	279866420	139717280	140149140	249033428	248697090	0	0	4648186	1.869015e-02	151	151	151	151	151	151	35.8	300.9	88.7	791449	8711	799	0	86.0	85.65648161195114	32.007918129811785	652
NG-28050_2_50_lib499464_7589_1	8092501	0	8092501	1	4046639	4045862	7908058	7716502	184443	7305578	7893225	0	227610	0	360	1221967651	611042489	610925162	1194116758	1193321452	0	0	5174067	4.335853e-03	151	151	151	151	151	151	35.4	386.0	131.4	3641586	21383	195282	0	90.3	411.10915728175144	121.61229252250668	262
NG-28050_2_51_lib499465_7584_2	7873939	0	7873939	1	3933040	3940899	7116398	6898332	757541	6604594	7606791	0	84159	0	450	1188964789	593889040	595075749	1074576098	1073118008	0	0	21943713	2.044855e-02	151	151	151	151	151	151	35.6	371.9	152.6	3300021	19894	129251	0	83.9	369.59685132633666	128.37501960485898	686
NG-28050_2_52_lib499466_7584_2	6289600	0	6289600	1	3144967	3144633	5634708	5376850	654892	5104158	5994646	0	37511	0	354	949729600	474890017	474839583	850840908	849575234	0	0	17623953	2.074443e-02	151	151	151	151	151	151	35.5	354.9	156.3	2547785	18289	122351	0	81.2	292.60777594303624	107.39218339028749	719
NG-28050_2_53_lib504955_7614_4	17279139	0	17279139	1	8626796	8652343	15364860	15288550	1914279	15199216	17088771	0	185674	0	850	2609149989	1302646196	1306503793	2320093860	2317440380	0	0	48056334	2.073682e-02	151	151	151	151	151	151	35.2	371.9	115.7	7597166	32020	15089	0	88.0	798.1894637222454	281.5670971640024	620
NG-28050_2_54_lib499468_7584_2	8118953	0	8118953	1	4052916	4066037	7662643	7573022	456310	7530206	8006999	0	85888	0	372	1225961903	611990316	613971587	1157059093	1155859937	0	0	22633357	1.958140e-02	151	151	151	151	151	151	35.5	385.4	117.0	3766026	13396	7089	0	92.7	398.1076658700298	149.64010187126038	640
NG-28050_2_56_lib499469_7584_2	7571471	0	7571471	1	3779334	3792137	7106877	7023688	464594	6974180	7465094	0	105737	0	316	1143292121	570679434	572612687	1073138427	1072257511	0	0	17057838	1.590834e-02	151	151	151	151	151	151	35.4	426.3	131.6	3491114	12242	8488	0	92.1	369.3179676698871	118.76016713837619	873
NG-28050_2_57_lib499470_7584_2	6657655	0	6657655	1	3324692	3332963	6078537	5987524	579118	5957126	6541538	0	78880	0	283	1005305905	502028492	503277413	917859087	916887180	0	0	18041736	1.967716e-02	151	151	151	151	151	151	35.5	378.1	112.9	2977841	11475	4446	0	89.5	315.79950727257005	107.5933168484862	667
